"functional_group_id","conservative_canonical_signature","strain_count","n_validated_production_groups","n_usable_pyoverdines","strategy","strategy_category","strategy_description"
1,"0|10,11",12,0,2,"Nonproducer","Nonproducer","Production: none | Utilization: 2 pyoverdines"
2,"0|10,11,216",1,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
3,"0|10,11,22,23,53,54,55,56,57,58,59,60,61,62,63,64,65,66,264,265,266",1,0,21,"Nonproducer","Nonproducer","Production: none | Utilization: 21 pyoverdines"
4,"0|10,11,27,28,29,30,31,32,33",5,0,9,"Nonproducer","Nonproducer","Production: none | Utilization: 9 pyoverdines"
5,"0|10,11,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,0,23,"Nonproducer","Nonproducer","Production: none | Utilization: 23 pyoverdines"
6,"0|113,114,115,116,117,118,119,120",1,0,8,"Nonproducer","Nonproducer","Production: none | Utilization: 8 pyoverdines"
7,"0|12,13,14",1,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
8,"0|12,13,14,27,28,29,30,31,32,33",2,0,10,"Nonproducer","Nonproducer","Production: none | Utilization: 10 pyoverdines"
9,"0|12,13,14,53,54,55,56,57,58,59,60,61,62,63,64,65,66",2,0,17,"Nonproducer","Nonproducer","Production: none | Utilization: 17 pyoverdines"
10,"0|216",5,0,1,"Nonproducer","Nonproducer","Production: none | Utilization: 1 pyoverdines"
11,"0|218,219,220,221,222,223",2,0,6,"Nonproducer","Nonproducer","Production: none | Utilization: 6 pyoverdines"
12,"0|22,23",32,0,2,"Nonproducer","Nonproducer","Production: none | Utilization: 2 pyoverdines"
13,"0|22,23,264,265,266,275,276,277,278",2,0,9,"Nonproducer","Nonproducer","Production: none | Utilization: 9 pyoverdines"
14,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,275,276,277,278",4,0,27,"Nonproducer","Nonproducer","Production: none | Utilization: 27 pyoverdines"
15,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89",1,0,26,"Nonproducer","Nonproducer","Production: none | Utilization: 26 pyoverdines"
16,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,255,275,276,277,278",2,0,30,"Nonproducer","Nonproducer","Production: none | Utilization: 30 pyoverdines"
17,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,275,276,277,278",1,0,29,"Nonproducer","Nonproducer","Production: none | Utilization: 29 pyoverdines"
18,"0|22,23,275,276,277,278",2,0,6,"Nonproducer","Nonproducer","Production: none | Utilization: 6 pyoverdines"
19,"0|22,23,34,35,36,37,38,39,40,41",15,0,10,"Nonproducer","Nonproducer","Production: none | Utilization: 10 pyoverdines"
20,"0|22,23,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,275,276,277,278",1,0,22,"Nonproducer","Nonproducer","Production: none | Utilization: 22 pyoverdines"
21,"0|249,250,251,252",1,0,4,"Nonproducer","Nonproducer","Production: none | Utilization: 4 pyoverdines"
22,"0|264,265,266",1,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
23,"0|27,28,29,30,31,32,33",15,0,7,"Nonproducer","Nonproducer","Production: none | Utilization: 7 pyoverdines"
24,"0|27,28,29,30,31,32,33,216",1,0,8,"Nonproducer","Nonproducer","Production: none | Utilization: 8 pyoverdines"
25,"0|27,28,29,30,31,32,33,275,276,277,278",1,0,11,"Nonproducer","Nonproducer","Production: none | Utilization: 11 pyoverdines"
26,"0|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66",3,0,21,"Nonproducer","Nonproducer","Production: none | Utilization: 21 pyoverdines"
27,"0|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,216",1,0,22,"Nonproducer","Nonproducer","Production: none | Utilization: 22 pyoverdines"
28,"0|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,275,276,277,278",1,0,25,"Nonproducer","Nonproducer","Production: none | Utilization: 25 pyoverdines"
29,"0|27,28,29,30,31,32,33,87,88,89",3,0,10,"Nonproducer","Nonproducer","Production: none | Utilization: 10 pyoverdines"
30,"0|27,28,29,30,31,32,33,97,98",10,0,9,"Nonproducer","Nonproducer","Production: none | Utilization: 9 pyoverdines"
31,"0|275,276,277,278",8,0,4,"Nonproducer","Nonproducer","Production: none | Utilization: 4 pyoverdines"
32,"0|34,35,36,37,38,39,40,41",16,0,8,"Nonproducer","Nonproducer","Production: none | Utilization: 8 pyoverdines"
33,"0|34,35,36,37,38,39,40,41,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,0,22,"Nonproducer","Nonproducer","Production: none | Utilization: 22 pyoverdines"
34,"0|42",3,0,1,"Nonproducer","Nonproducer","Production: none | Utilization: 1 pyoverdines"
35,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66",28,0,14,"Nonproducer","Nonproducer","Production: none | Utilization: 14 pyoverdines"
36,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,264,265,266",1,0,17,"Nonproducer","Nonproducer","Production: none | Utilization: 17 pyoverdines"
37,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,264,265,266,275,276,277,278",5,0,21,"Nonproducer","Nonproducer","Production: none | Utilization: 21 pyoverdines"
38,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,275,276,277,278",7,0,18,"Nonproducer","Nonproducer","Production: none | Utilization: 18 pyoverdines"
39,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,69,70,275,276,277,278",1,0,20,"Nonproducer","Nonproducer","Production: none | Utilization: 20 pyoverdines"
40,"0|6,7,8",7,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
41,"0|6,7,8,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,0,17,"Nonproducer","Nonproducer","Production: none | Utilization: 17 pyoverdines"
42,"0|69,70",12,0,2,"Nonproducer","Nonproducer","Production: none | Utilization: 2 pyoverdines"
43,"0|87,88,89",5,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
44,"10,105|10,11,103,104,105",13,2,5,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 5 pyoverdines"
45,"103|103,104,105",1,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
46,"104|103,104,105",2,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
47,"105|103,104,105",3,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
48,"10|10,11",23,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
49,"113|113,114,115,116,117,118,119,120",1,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
50,"11|10,11",1,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
51,"120|113,114,115,116,117,118,119,120",2,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
52,"12|12,13,14,16,17,18",3,1,6,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 6 pyoverdines"
53,"13|12,13,14",1,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
54,"14|12,13,14",2,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
55,"14|12,13,14,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,17,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 17 pyoverdines"
56,"16|16,17,18",2,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
57,"17|16,17,18",3,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
58,"18|16,17,18,218,219,220,221,222,223",1,1,9,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 9 pyoverdines"
59,"216|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,216",2,1,22,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 22 pyoverdines"
60,"219|218,219,220,221,222,223",1,1,6,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 6 pyoverdines"
61,"220|218,219,220,221,222,223",1,1,6,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 6 pyoverdines"
62,"221|218,219,220,221,222,223",3,1,6,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 6 pyoverdines"
63,"222|218,219,220,221,222,223",1,1,6,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 6 pyoverdines"
64,"228|228,229,230,275,276,277,278",3,1,7,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 7 pyoverdines"
65,"228|27,28,29,30,31,32,33,228,229,230",1,1,10,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 10 pyoverdines"
66,"229|27,28,29,30,31,32,33,228,229,230,275,276,277,278",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
67,"22|22,23",700,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
68,"22|22,23,27,28,29,30,31,32,33,264,265,266,275,276,277,278",66,1,16,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 16 pyoverdines"
69,"22|22,23,34,35,36,37,38,39,40,41",1,1,10,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 10 pyoverdines"
70,"22|none",1,1,0,"Producer-only (no utilization)","Other","Production: 1 validated groups | Utilization: none"
71,"23,68,223|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,87,88,89,218,219,220,221,222,223,275,276,277,278",4,3,37,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 37 pyoverdines"
72,"23,68|22,23,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,87,88,89,275,276,277,278",2,2,39,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 39 pyoverdines"
73,"23,68|22,23,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,68,87,88,89,275,276,277,278",1,2,25,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 25 pyoverdines"
74,"23,68|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,87,88,89,264,265,266,275,276,277,278",1,2,34,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 34 pyoverdines"
75,"23,68|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,87,88,89,275,276,277,278",4,2,31,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 31 pyoverdines"
76,"230|228,229,230",1,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
77,"23|10,11,22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66",4,1,25,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 25 pyoverdines"
78,"23|22,23,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,87,88,89,275,276,277,278",2,1,24,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 24 pyoverdines"
79,"23|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,275,276,277,278",1,1,27,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 27 pyoverdines"
80,"23|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89,264,265,266,275,276,277,278",1,1,33,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 33 pyoverdines"
81,"23|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89,275,276,277,278",2,1,30,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 30 pyoverdines"
82,"23|22,23,27,28,29,30,31,32,33,87,88,89,275,276,277,278",1,1,16,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 16 pyoverdines"
83,"23|22,23,53,54,55,56,57,58,59,60,61,62,63,64,65,66,264,265,266,275,276,277,278",1,1,23,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 23 pyoverdines"
84,"249|249,250,251,252",13,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
85,"250|249,250,251,252",6,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
86,"250|27,28,29,30,31,32,33,249,250,251,252",22,1,11,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 11 pyoverdines"
87,"251|249,250,251,252",4,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
88,"252|113,114,115,116,117,118,119,120,249,250,251,252",2,1,12,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 12 pyoverdines"
89,"252|249,250,251,252",4,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
90,"255|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,255",4,1,24,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 24 pyoverdines"
91,"255|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,216,255",8,1,27,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 27 pyoverdines"
92,"255|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,255",1,1,26,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 26 pyoverdines"
93,"264|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89,264,265,266,275,276,277,278",1,1,33,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 33 pyoverdines"
94,"265|264,265,266",1,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
95,"266|264,265,266",2,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
96,"267|267,268,269,270",1,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
97,"268|267,268,269,270",1,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
98,"269|267,268,269,270",2,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
99,"270|267,268,269,270",6,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
100,"273|273,274",61,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
101,"273|87,88,89,273,274",1,1,5,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 5 pyoverdines"
102,"274|273,274",1,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
103,"275|275,276,277,278",1,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
104,"27|27,28,29,30,31,32,33",4,1,7,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 7 pyoverdines"
105,"28|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66",7,1,21,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 21 pyoverdines"
106,"29|12,13,14,27,28,29,30,31,32,33",2,1,10,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 10 pyoverdines"
107,"29|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66",2,1,21,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 21 pyoverdines"
108,"30|27,28,29,30,31,32,33",1,1,7,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 7 pyoverdines"
109,"31,273,277|27,28,29,30,31,32,33,87,88,89,273,274,275,276,277,278",1,3,16,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 16 pyoverdines"
110,"32,35,276|27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,275,276,277,278",2,3,19,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 19 pyoverdines"
111,"33,51|27,28,29,30,31,32,33,51,52",1,2,9,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 9 pyoverdines"
112,"33,51|27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66",95,2,23,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 23 pyoverdines"
113,"33,51|27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,216",2,2,24,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 24 pyoverdines"
114,"33,87|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89",1,2,24,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 24 pyoverdines"
115,"33,87|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89,216",5,2,25,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 25 pyoverdines"
116,"33,87|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89,216,218,219,220,221,222,223",3,2,31,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 31 pyoverdines"
117,"33,87|27,28,29,30,31,32,33,87,88,89",1,2,10,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 10 pyoverdines"
118,"33|27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,23,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 23 pyoverdines"
119,"33|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,216",6,1,22,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 22 pyoverdines"
120,"34|34,35,36,37,38,39,40,41",2,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
121,"35,115,218|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120",1,3,16,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 16 pyoverdines"
122,"35,115,276|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120,275,276,277,278",1,3,20,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 20 pyoverdines"
123,"35,115|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120",23,2,16,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 16 pyoverdines"
124,"35,116|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120,275,276,277,278",2,2,20,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 20 pyoverdines"
125,"35,117,218|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120,218,219,220,221,222,223",2,3,22,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 22 pyoverdines"
126,"35,117|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120",5,2,16,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 16 pyoverdines"
127,"35,276|34,35,36,37,38,39,40,41,275,276,277,278",50,2,12,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 12 pyoverdines"
128,"35|34,35,36,37,38,39,40,41",86,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
129,"35|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120",3,1,16,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 16 pyoverdines"
130,"36|34,35,36,37,38,39,40,41",13,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
131,"36|none",1,1,0,"Producer-only (no utilization)","Other","Production: 1 validated groups | Utilization: none"
132,"37|34,35,36,37,38,39,40,41",1,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
133,"37|none",1,1,0,"Producer-only (no utilization)","Other","Production: 1 validated groups | Utilization: none"
134,"38|34,35,36,37,38,39,40,41",3,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
135,"39|34,35,36,37,38,39,40,41",2,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
136,"40,114|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120",1,2,16,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 16 pyoverdines"
137,"41,119|34,35,36,37,38,39,40,41,113,114,115,116,117,118,119,120",1,2,16,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 16 pyoverdines"
138,"41,275|34,35,36,37,38,39,40,41",1,2,8,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 8 pyoverdines"
139,"41,275|34,35,36,37,38,39,40,41,275,276,277,278",106,2,12,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 12 pyoverdines"
140,"41,278|34,35,36,37,38,39,40,41,275,276,277,278",1,2,12,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 12 pyoverdines"
141,"41,87,118|34,35,36,37,38,39,40,41,87,88,89,113,114,115,116,117,118,119,120",4,3,19,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 19 pyoverdines"
142,"41,87|34,35,36,37,38,39,40,41,87,88,89",3,2,11,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 11 pyoverdines"
143,"41,87|34,35,36,37,38,39,40,41,87,88,89,275,276,277,278",4,2,15,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 15 pyoverdines"
144,"41|34,35,36,37,38,39,40,41",28,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
145,"42|34,35,36,37,38,39,40,41,42",4,1,9,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 9 pyoverdines"
146,"42|42",8,1,1,"Single-receptor producer","Producer","Production: 1 validated groups | Utilization: 1 pyoverdines"
147,"51,216|27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,216",3,2,24,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 24 pyoverdines"
148,"52|27,28,29,30,31,32,33,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,23,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 23 pyoverdines"
149,"53|53,54,55,56,57,58,59,60,61,62,63,64,65,66",11,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
150,"54|53,54,55,56,57,58,59,60,61,62,63,64,65,66",12,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
151,"55|53,54,55,56,57,58,59,60,61,62,63,64,65,66",2,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
152,"56|53,54,55,56,57,58,59,60,61,62,63,64,65,66",3,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
153,"57|53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
154,"58|6,7,8,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,17,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 17 pyoverdines"
155,"59|53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
156,"60|53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
157,"61|53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
158,"62|53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
159,"63|53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
160,"64|53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
161,"65|53,54,55,56,57,58,59,60,61,62,63,64,65,66",4,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
162,"66|53,54,55,56,57,58,59,60,61,62,63,64,65,66",3,1,14,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 14 pyoverdines"
163,"68,264|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,87,88,89,264,265,266,275,276,277,278",1,2,34,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 34 pyoverdines"
164,"69|69,70",3,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
165,"6|6,7,8",3,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
166,"70|69,70",2,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
167,"7|none",1,1,0,"Producer-only (no utilization)","Other","Production: 1 validated groups | Utilization: none"
168,"85|12,13,14,27,28,29,30,31,32,33,85",3,1,11,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 11 pyoverdines"
169,"85|12,13,14,53,54,55,56,57,58,59,60,61,62,63,64,65,66,85",2,1,18,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 18 pyoverdines"
170,"85|12,13,14,85",2,1,4,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 4 pyoverdines"
171,"85|85",4,1,1,"Single-receptor producer","Producer","Production: 1 validated groups | Utilization: 1 pyoverdines"
172,"88,273,277|87,88,89,273,274,275,276,277,278",2,3,9,"Multi-producer","Producer","Production: 3 validated groups | Utilization: 9 pyoverdines"
173,"89|12,13,14,87,88,89",1,1,6,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 6 pyoverdines"
174,"8|6,7,8",4,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
175,"97|27,28,29,30,31,32,33,97,98",9,1,9,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 9 pyoverdines"
176,"98|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,255",1,1,26,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 26 pyoverdines"
177,"98|22,23,27,28,29,30,31,32,33,97,98",1,1,11,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 11 pyoverdines"
