node_id,consensus_module,mean_within,median_within,sd_within
FG_165,1,0.17333333333333334,0.175,0.02853875933382048
FG_167,1,0.19666666666666666,0.195,0.023289524700695667
FG_048,1,0.1891304347826087,0.19,0.023151618570960496
FG_050,1,0.185,0.185,0.027560094766335832
FG_055,1,0.18572463768115943,0.19,0.026489112112876852
FG_056,1,0.18420289855072464,0.185,0.0260743167019742
FG_057,1,0.17797101449275363,0.175,0.02345707657835324
FG_067,1,0.1815217391304348,0.19,0.025004475302758112
FG_068,1,0.18536231884057972,0.185,0.02639238471632476
FG_070,1,0.1826086956521739,0.185,0.033184075464748566
FG_080,1,0.17920289855072463,0.185,0.025532896721763915
FG_105,1,0.17818840579710146,0.175,0.026554203922365176
FG_110,1,0.1872463768115942,0.18,0.02928732198966838
FG_113,1,0.1882608695652174,0.185,0.029064154278743756
FG_114,1,0.19304347826086957,0.19,0.020223337409020284
FG_115,1,0.18594202898550724,0.185,0.028222792237924118
FG_117,1,0.19478260869565217,0.195,0.02598691388169494
FG_118,1,0.17753623188405798,0.175,0.023414789010709175
FG_119,1,0.18,0.18,0.026692695630078277
FG_128,1,0.18478260869565216,0.185,0.023047820852215194
FG_130,1,0.1951449275362319,0.195,0.02335737404806333
FG_136,1,0.1777536231884058,0.175,0.02356992462808424
FG_151,1,0.17608695652173914,0.18,0.02334003070366622
FG_159,1,0.1884782608695652,0.19,0.02784284082428085
FG_163,1,0.18014492753623187,0.18,0.02549467958470992
FG_166,1,0.18355072463768116,0.18,0.031155462287527223
FG_168,1,0.18543478260869564,0.19,0.028332831849531222
FG_047,1,0.17717391304347826,0.175,0.025182835261659018
FG_051,1,0.18659420289855072,0.185,0.028186520996735357
FG_063,1,0.18630434782608696,0.185,0.02873115973367493
FG_064,1,0.16543478260869565,0.16,0.026019493970793586
FG_066,1,0.19181159420289856,0.19,0.027904393161566156
FG_085,1,0.1681159420289855,0.165,0.023090318974616417
FG_092,1,0.17340579710144927,0.17,0.02336558482329722
FG_099,1,0.19065217391304348,0.19,0.027598926922317597
FG_101,1,0.19217391304347825,0.195,0.024829984554814513
FG_102,1,0.18869565217391304,0.195,0.0238970243950175
FG_001,1,0.18318840579710144,0.185,0.02324693234811021
FG_002,1,0.1855072463768116,0.185,0.02914397485325619
FG_009,1,0.17891304347826087,0.18,0.029026731660576958
FG_013,1,0.17673913043478262,0.18,0.025550211334404587
FG_015,1,0.17855072463768115,0.18,0.023703149599531417
FG_019,1,0.1760144927536232,0.17,0.028653350462967207
FG_023,1,0.19268115942028985,0.19,0.027272854826744523
FG_025,1,0.17572463768115942,0.175,0.0283786809263009
FG_026,1,0.17978260869565219,0.18,0.02808122125571244
FG_037,1,0.17891304347826087,0.18,0.02813922274650623
FG_042,1,0.18760869565217392,0.19,0.023880965464338988
PYO_06,1,0.19152173913043477,0.185,0.02757748905925446
PYO_07,1,0.18992753623188405,0.195,0.02633903323551865
PYO_09,1,0.18739130434782608,0.195,0.026493738101064087
PYO_12,1,0.1796376811594203,0.175,0.028637167855414727
PYO_18,1,0.19557971014492753,0.195,0.024246531466377674
PYO_22,1,0.17681159420289855,0.175,0.026135549017021666
PYO_23,1,0.17804347826086955,0.175,0.02539710195521893
PYO_25,1,0.1760144927536232,0.17,0.02420166058572354
PYO_30,1,0.1836231884057971,0.185,0.022143981687553098
PYO_31,1,0.18130434782608695,0.18,0.02590497587213818
PYO_33,1,0.18072463768115943,0.185,0.02743006297196939
PYO_37,1,0.1905072463768116,0.19,0.026722222074523863
PYO_41,1,0.1907246376811594,0.19,0.024723104256099616
PYO_45,1,0.18340579710144927,0.185,0.025774656294039574
PYO_61,1,0.17847826086956523,0.175,0.02535489783039501
PYO_68,1,0.1815217391304348,0.185,0.028262222080560936
PYO_75,1,0.17971014492753623,0.18,0.027397993405097132
PYO_76,1,0.17782608695652175,0.175,0.023490897186769732
PYO_78,1,0.18608695652173912,0.185,0.024776494512075458
PYO_86,1,0.17905797101449275,0.18,0.026238097614173787
PYO_89,1,0.16934782608695653,0.165,0.023372196961193848
PYO_92,1,0.17978260869565219,0.18,0.02463609831433242
FG_174,2,0.19263157894736843,0.195,0.029793440936001628
FG_054,2,0.1831578947368421,0.185,0.027541993455608326
FG_073,2,0.17888157894736842,0.175,0.021963586292020196
FG_074,2,0.18282894736842106,0.1825,0.02707194767424747
FG_075,2,0.16960526315789473,0.165,0.025452742588239048
FG_077,2,0.18289473684210528,0.185,0.02720616545190614
FG_081,2,0.18572368421052632,0.185,0.029560152766502194
FG_083,2,0.18368421052631578,0.185,0.027861184720594488
FG_104,2,0.1831578947368421,0.1825,0.023534968384132264
FG_106,2,0.18842105263157896,0.185,0.02508931414388457
FG_109,2,0.18394736842105264,0.185,0.02255830651849682
FG_116,2,0.1800657894736842,0.18,0.025540731143967297
FG_120,2,0.17026315789473684,0.17,0.021180096582123276
FG_124,2,0.18835526315789475,0.1875,0.02840643304951347
FG_126,2,0.1724342105263158,0.1725,0.023487492005357966
FG_127,2,0.18052631578947367,0.175,0.032440498838832314
FG_132,2,0.1818421052631579,0.18,0.027517777348024287
FG_134,2,0.18039473684210527,0.175,0.024231703171599207
FG_135,2,0.18355263157894736,0.18,0.030515742270437886
FG_137,2,0.18111842105263157,0.18,0.023460586582756567
FG_138,2,0.18236842105263157,0.1775,0.027318780892889128
FG_141,2,0.18552631578947368,0.185,0.026262507463028238
FG_146,2,0.19131578947368422,0.195,0.027305291563512392
FG_153,2,0.18032894736842106,0.175,0.024877506926482666
FG_154,2,0.18703947368421053,0.185,0.02730296237381513
FG_155,2,0.18407894736842106,0.1825,0.025686708966776176
FG_156,2,0.17578947368421052,0.175,0.029609149842336993
FG_158,2,0.1825657894736842,0.1775,0.029034386751489824
FG_173,2,0.18098684210526317,0.185,0.0279525757530155
FG_176,2,0.17894736842105263,0.18,0.02419801354758532
FG_049,2,0.17684210526315788,0.175,0.027854887126716295
FG_084,2,0.16921052631578948,0.17,0.025285735525244893
FG_086,2,0.1674342105263158,0.1675,0.02335941524742763
FG_088,2,0.17703947368421052,0.175,0.02857945219417787
FG_089,2,0.1701315789473684,0.17,0.026782751715865274
FG_091,2,0.18875,0.19,0.023973944189473705
FG_095,2,0.18519736842105264,0.185,0.027318379520921858
FG_096,2,0.18013157894736842,0.18,0.02481899385834065
FG_098,2,0.18875,0.19,0.02897268828857044
FG_100,2,0.18243421052631578,0.18,0.02564492699739569
FG_103,2,0.19164473684210526,0.195,0.025038479159016254
FG_004,2,0.17125,0.17,0.028695237700124852
FG_011,2,0.19269736842105262,0.19,0.024999210513850022
FG_014,2,0.17914473684210527,0.18,0.027134088743310036
FG_020,2,0.16625,0.165,0.025339363317442156
FG_021,2,0.18335526315789474,0.185,0.024102394872636438
FG_030,2,0.1831578947368421,0.18,0.027323275856104296
FG_032,2,0.16322368421052633,0.165,0.02925410452533024
FG_040,2,0.19480263157894737,0.1925,0.02933076643473748
FG_041,2,0.18875,0.1875,0.02830930353552815
PYO_01,2,0.19282894736842104,0.195,0.030114620218046798
PYO_03,2,0.1875,0.185,0.025942243542145693
PYO_04,2,0.1843421052631579,0.1825,0.027896739418352075
PYO_08,2,0.1868421052631579,0.185,0.027041229080340238
PYO_13,2,0.17467105263157895,0.175,0.026310144131314182
PYO_20,2,0.19572368421052633,0.2,0.028620551443189923
PYO_24,2,0.1726315789473684,0.17,0.027061333845058048
PYO_27,2,0.17210526315789473,0.17,0.026144000687152388
PYO_36,2,0.18605263157894736,0.19,0.033219630636855714
PYO_38,2,0.17605263157894738,0.1725,0.02466192462716139
PYO_39,2,0.17717105263157895,0.1775,0.025681842175822582
PYO_43,2,0.18118421052631578,0.18,0.02810537814550365
PYO_47,2,0.19203947368421054,0.19,0.02532689784371479
PYO_50,2,0.18618421052631579,0.18,0.029290139649748248
PYO_52,2,0.18657894736842104,0.185,0.02519537690815241
PYO_53,2,0.18973684210526315,0.1875,0.027469919752850937
PYO_54,2,0.19546052631578947,0.195,0.026497517262049883
PYO_62,2,0.17809210526315788,0.18,0.02820126599124181
PYO_66,2,0.18651315789473685,0.185,0.02546919363783242
PYO_69,2,0.19480263157894737,0.195,0.02617175053976691
PYO_77,2,0.18118421052631578,0.18,0.025335987857230954
PYO_79,2,0.17980263157894738,0.18,0.02596716888012867
PYO_80,2,0.19098684210526315,0.19,0.02634412947688226
PYO_81,2,0.18296052631578946,0.18,0.026884662685614978
PYO_84,2,0.18026315789473685,0.18,0.02908487277884164
PYO_88,2,0.18296052631578946,0.18,0.025141965337909276
PYO_93,2,0.17480263157894738,0.175,0.026663843052264418
FG_044,3,0.17157534246575343,0.17,0.02526081605978097
FG_052,3,0.1776027397260274,0.175,0.025098550049990384
FG_053,3,0.1852054794520548,0.185,0.027124178893926185
FG_058,3,0.1734931506849315,0.17,0.02492607029222797
FG_069,3,0.1863013698630137,0.185,0.02389251680356265
FG_071,3,0.18493150684931506,0.185,0.027770052198128076
FG_078,3,0.18595890410958904,0.19,0.02585560242114118
FG_082,3,0.18554794520547946,0.185,0.02477063735324234
FG_108,3,0.18897260273972602,0.185,0.02817306268738304
FG_111,3,0.18801369863013698,0.185,0.027685482131477486
FG_121,3,0.18226027397260275,0.18,0.025152881101410115
FG_122,3,0.18417808219178083,0.18,0.023259014062505256
FG_129,3,0.1826027397260274,0.18,0.025001522023684098
FG_131,3,0.17863013698630137,0.175,0.026799930995617564
FG_140,3,0.19027397260273973,0.19,0.026508520786287126
FG_142,3,0.1795890410958904,0.175,0.02543719696321727
FG_144,3,0.1889041095890411,0.185,0.027816943469544303
FG_147,3,0.1726027397260274,0.17,0.02536004059650372
FG_148,3,0.17828767123287673,0.175,0.026695546576189857
FG_149,3,0.19136986301369863,0.185,0.02635574302232346
FG_150,3,0.17753424657534247,0.175,0.02453913099055648
FG_160,3,0.1806164383561644,0.18,0.026678971190905676
FG_162,3,0.18438356164383563,0.185,0.027887985334681262
FG_170,3,0.18342465753424658,0.185,0.024732972710881308
FG_171,3,0.17904109589041095,0.175,0.02733101532659085
FG_172,3,0.1841095890410959,0.18,0.025308409693571343
FG_177,3,0.18431506849315069,0.185,0.03135056118243463
FG_045,3,0.17965753424657535,0.18,0.027109971094128913
FG_046,3,0.18773972602739727,0.19,0.02908370458084937
FG_059,3,0.17849315068493152,0.18,0.0255452340019247
FG_076,3,0.17404109589041095,0.175,0.025449535226144866
FG_087,3,0.18404109589041096,0.185,0.022183851957476478
FG_090,3,0.18198630136986302,0.185,0.02555956721871313
FG_093,3,0.18472602739726027,0.185,0.02498458428821249
FG_094,3,0.1782191780821918,0.18,0.02647548476911259
FG_003,3,0.17595890410958903,0.18,0.02671424836017309
FG_005,3,0.17417808219178083,0.175,0.026273318989335413
FG_006,3,0.1863013698630137,0.185,0.026900374290821705
FG_007,3,0.1780821917808219,0.185,0.025476434331367624
FG_017,3,0.16739726027397261,0.165,0.025510204780542344
FG_018,3,0.1860958904109589,0.185,0.028250449545863494
FG_022,3,0.18636986301369862,0.185,0.02802851070750949
FG_024,3,0.19116438356164384,0.19,0.02630642807937409
FG_031,3,0.18356164383561643,0.185,0.02811780095586437
FG_034,3,0.18787671232876713,0.19,0.028745987742001804
FG_035,3,0.17315068493150684,0.175,0.024173947887525474
FG_038,3,0.17431506849315068,0.175,0.02818977193964386
FG_039,3,0.19116438356164384,0.195,0.025907427988164866
FG_043,3,0.18753424657534246,0.185,0.025861856399693278
PYO_14,3,0.17945205479452056,0.18,0.025934769184699186
PYO_15,3,0.18,0.18,0.02801289385661935
PYO_21,3,0.18883561643835617,0.19,0.02514569418554714
PYO_28,3,0.17205479452054795,0.17,0.023656036586272872
PYO_29,3,0.17068493150684932,0.175,0.02577028689117715
PYO_34,3,0.18746575342465754,0.185,0.027030374988037287
PYO_35,3,0.1878082191780822,0.19,0.0250691585276536
PYO_40,3,0.1860958904109589,0.185,0.02899049862721388
PYO_42,3,0.18815068493150686,0.185,0.024502081109387824
PYO_46,3,0.17876712328767122,0.18,0.026520181281821965
PYO_48,3,0.2036986301369863,0.205,0.02843153810838456
PYO_55,3,0.178013698630137,0.175,0.022341101354706037
PYO_58,3,0.1815068493150685,0.18,0.02226240184186435
PYO_59,3,0.17363013698630136,0.175,0.023793969152634657
PYO_60,3,0.18821917808219177,0.19,0.025185007982783055
PYO_63,3,0.17924657534246574,0.18,0.02356538234472915
PYO_65,3,0.1878082191780822,0.185,0.02966229253064429
PYO_67,3,0.18047945205479451,0.18,0.027653164169484743
PYO_70,3,0.17431506849315068,0.175,0.02760478859039213
PYO_71,3,0.1865068493150685,0.185,0.024575350843924457
PYO_73,3,0.1780821917808219,0.175,0.027520574840904404
PYO_82,3,0.17513698630136987,0.175,0.024565284373420797
PYO_83,3,0.17657534246575343,0.175,0.02143913724439176
PYO_85,3,0.19301369863013698,0.195,0.02688374826642221
PYO_90,3,0.18787671232876713,0.19,0.026847276504475506
FG_072,4,0.1865625,0.185,0.02796571323998865
FG_079,4,0.19770833333333332,0.2,0.026051469786063597
FG_107,4,0.203125,0.2,0.026749925432387616
FG_112,4,0.19322916666666667,0.1925,0.023166593320971703
FG_123,4,0.18583333333333332,0.1825,0.026962016886908313
FG_125,4,0.1975,0.1925,0.028934996847298798
FG_133,4,0.1834375,0.185,0.02503521456039685
FG_139,4,0.19520833333333334,0.195,0.02500974987184962
FG_143,4,0.19989583333333333,0.2,0.019364630604267054
FG_145,4,0.2025,0.2,0.024516603145363226
FG_152,4,0.19395833333333334,0.2,0.024688664237742217
FG_157,4,0.20041666666666666,0.2,0.027363458576141777
FG_161,4,0.1925,0.1875,0.024732612633112064
FG_164,4,0.18739583333333334,0.19,0.022993745295080477
FG_169,4,0.189375,0.185,0.02610586059578976
FG_175,4,0.18770833333333334,0.19,0.02473171650772424
FG_060,4,0.19197916666666667,0.19,0.02904031649740587
FG_061,4,0.1815625,0.185,0.028660823769545356
FG_062,4,0.19791666666666666,0.2,0.02818693928221528
FG_065,4,0.191875,0.195,0.029056529642984157
FG_097,4,0.19,0.19,0.025495097567963924
FG_008,4,0.1896875,0.19,0.03049949860069206
FG_010,4,0.1834375,0.1825,0.02554004469414107
FG_012,4,0.1871875,0.1875,0.03050821741412031
FG_016,4,0.1815625,0.18,0.029717754740365407
FG_027,4,0.19104166666666667,0.19,0.023811277797602757
FG_028,4,0.18541666666666667,0.185,0.030506946075693122
FG_029,4,0.18833333333333332,0.19,0.0262016187037182
FG_033,4,0.2071875,0.205,0.02492341994394284
FG_036,4,0.19010416666666666,0.19,0.024678562997695094
PYO_02,4,0.19052083333333333,0.185,0.024802187260558318
PYO_05,4,0.19802083333333334,0.195,0.028448153350929727
PYO_10,4,0.1859375,0.185,0.025737137874236263
PYO_11,4,0.18875,0.19,0.026082928304470922
PYO_16,4,0.20083333333333334,0.2,0.021960635317451523
PYO_17,4,0.18833333333333332,0.185,0.024152294576982394
PYO_19,4,0.18104166666666666,0.185,0.024385170182360735
PYO_26,4,0.19666666666666666,0.2,0.024393348703958376
PYO_32,4,0.19666666666666666,0.1975,0.02550205109259014
PYO_44,4,0.18833333333333332,0.19,0.026684391272589533
PYO_49,4,0.1840625,0.185,0.027611596584722276
PYO_51,4,0.19635416666666666,0.2,0.023149366595197916
PYO_56,4,0.17364583333333333,0.1725,0.026371720494574705
PYO_57,4,0.18697916666666667,0.19,0.024050911942132817
PYO_64,4,0.18708333333333332,0.185,0.033799051562504276
PYO_72,4,0.18885416666666666,0.1925,0.024802187260558318
PYO_74,4,0.1953125,0.2,0.029560724554215725
PYO_87,4,0.19072916666666667,0.19,0.027656509820673195
PYO_91,4,0.17989583333333334,0.18,0.026123470805969762
