"node_id","consensus_module","mean_within","median_within","sd_within"
"FG_165",1,NA,NA,NA
"FG_167",2,NA,NA,NA
"FG_174",3,NA,NA,NA
"FG_044",4,NA,NA,NA
"FG_048",5,NA,NA,NA
"FG_050",6,NA,NA,NA
"FG_052",7,NA,NA,NA
"FG_053",8,NA,NA,NA
"FG_054",9,NA,NA,NA
"FG_055",10,NA,NA,NA
"FG_056",11,NA,NA,NA
"FG_057",12,NA,NA,NA
"FG_058",13,NA,NA,NA
"FG_067",14,NA,NA,NA
"FG_068",15,NA,NA,NA
"FG_069",16,NA,NA,NA
"FG_070",17,NA,NA,NA
"FG_071",18,NA,NA,NA
"FG_072",19,NA,NA,NA
"FG_073",20,NA,NA,NA
"FG_074",21,NA,NA,NA
"FG_075",22,NA,NA,NA
"FG_077",23,NA,NA,NA
"FG_078",24,NA,NA,NA
"FG_079",25,NA,NA,NA
"FG_080",26,NA,NA,NA
"FG_081",27,NA,NA,NA
"FG_082",28,NA,NA,NA
"FG_083",29,NA,NA,NA
"FG_104",30,NA,NA,NA
"FG_105",31,NA,NA,NA
"FG_106",32,NA,NA,NA
"FG_107",33,NA,NA,NA
"FG_108",34,NA,NA,NA
"FG_109",35,NA,NA,NA
"FG_110",36,NA,NA,NA
"FG_111",37,NA,NA,NA
"FG_112",38,NA,NA,NA
"FG_113",39,NA,NA,NA
"FG_114",40,NA,NA,NA
"FG_115",41,NA,NA,NA
"FG_116",42,NA,NA,NA
"FG_117",43,NA,NA,NA
"FG_118",44,NA,NA,NA
"FG_119",45,NA,NA,NA
"FG_120",46,NA,NA,NA
"FG_121",47,NA,NA,NA
"FG_122",48,NA,NA,NA
"FG_123",49,NA,NA,NA
"FG_124",50,NA,NA,NA
"FG_125",51,NA,NA,NA
"FG_126",52,NA,NA,NA
"FG_127",53,NA,NA,NA
"FG_128",54,NA,NA,NA
"FG_129",55,NA,NA,NA
"FG_130",56,NA,NA,NA
"FG_131",57,NA,NA,NA
"FG_132",58,NA,NA,NA
"FG_133",59,NA,NA,NA
"FG_134",60,NA,NA,NA
"FG_135",61,NA,NA,NA
"FG_136",62,NA,NA,NA
"FG_137",63,NA,NA,NA
"FG_138",64,NA,NA,NA
"FG_139",65,NA,NA,NA
"FG_140",66,NA,NA,NA
"FG_141",67,NA,NA,NA
"FG_142",68,NA,NA,NA
"FG_143",69,NA,NA,NA
"FG_144",70,NA,NA,NA
"FG_145",71,NA,NA,NA
"FG_146",72,NA,NA,NA
"FG_147",73,NA,NA,NA
"FG_148",74,NA,NA,NA
"FG_149",75,NA,NA,NA
"FG_150",76,NA,NA,NA
"FG_151",77,NA,NA,NA
"FG_152",78,NA,NA,NA
"FG_153",79,NA,NA,NA
"FG_154",80,NA,NA,NA
"FG_155",81,NA,NA,NA
"FG_156",82,NA,NA,NA
"FG_157",83,NA,NA,NA
"FG_158",84,NA,NA,NA
"FG_159",85,NA,NA,NA
"FG_160",86,NA,NA,NA
"FG_161",87,NA,NA,NA
"FG_162",88,NA,NA,NA
"FG_163",89,NA,NA,NA
"FG_164",90,NA,NA,NA
"FG_166",91,NA,NA,NA
"FG_168",92,NA,NA,NA
"FG_169",93,NA,NA,NA
"FG_170",94,NA,NA,NA
"FG_171",95,NA,NA,NA
"FG_172",96,NA,NA,NA
"FG_173",97,NA,NA,NA
"FG_175",98,NA,NA,NA
"FG_176",99,NA,NA,NA
"FG_177",100,NA,NA,NA
"FG_045",101,NA,NA,NA
"FG_046",102,NA,NA,NA
"FG_047",103,NA,NA,NA
"FG_049",104,NA,NA,NA
"FG_051",105,NA,NA,NA
"FG_059",106,NA,NA,NA
"FG_060",107,NA,NA,NA
"FG_061",108,NA,NA,NA
"FG_062",109,NA,NA,NA
"FG_063",110,NA,NA,NA
"FG_064",111,NA,NA,NA
"FG_065",112,NA,NA,NA
"FG_066",113,NA,NA,NA
"FG_076",114,NA,NA,NA
"FG_084",115,NA,NA,NA
"FG_085",116,NA,NA,NA
"FG_086",117,NA,NA,NA
"FG_087",118,NA,NA,NA
"FG_088",119,NA,NA,NA
"FG_089",120,NA,NA,NA
"FG_090",121,NA,NA,NA
"FG_091",122,NA,NA,NA
"FG_092",123,NA,NA,NA
"FG_093",124,NA,NA,NA
"FG_094",125,NA,NA,NA
"FG_095",126,NA,NA,NA
"FG_096",127,NA,NA,NA
"FG_097",128,NA,NA,NA
"FG_098",129,NA,NA,NA
"FG_099",130,NA,NA,NA
"FG_100",131,NA,NA,NA
"FG_101",132,NA,NA,NA
"FG_102",133,NA,NA,NA
"FG_103",134,NA,NA,NA
"FG_001",135,NA,NA,NA
"FG_002",136,NA,NA,NA
"FG_003",137,NA,NA,NA
"FG_004",138,NA,NA,NA
"FG_005",139,NA,NA,NA
"FG_006",140,NA,NA,NA
"FG_007",141,NA,NA,NA
"FG_008",142,NA,NA,NA
"FG_009",143,NA,NA,NA
"FG_010",144,NA,NA,NA
"FG_011",145,NA,NA,NA
"FG_012",146,NA,NA,NA
"FG_013",147,NA,NA,NA
"FG_014",148,NA,NA,NA
"FG_015",149,NA,NA,NA
"FG_016",150,NA,NA,NA
"FG_017",151,NA,NA,NA
"FG_018",152,NA,NA,NA
"FG_019",153,NA,NA,NA
"FG_020",154,NA,NA,NA
"FG_021",155,NA,NA,NA
"FG_022",156,NA,NA,NA
"FG_023",157,NA,NA,NA
"FG_024",158,NA,NA,NA
"FG_025",159,NA,NA,NA
"FG_026",160,NA,NA,NA
"FG_027",161,NA,NA,NA
"FG_028",162,NA,NA,NA
"FG_029",163,NA,NA,NA
"FG_030",164,NA,NA,NA
"FG_031",165,NA,NA,NA
"FG_032",166,NA,NA,NA
"FG_033",167,NA,NA,NA
"FG_034",168,NA,NA,NA
"FG_035",169,NA,NA,NA
"FG_036",170,NA,NA,NA
"FG_037",171,NA,NA,NA
"FG_038",172,NA,NA,NA
"FG_039",173,NA,NA,NA
"FG_040",174,NA,NA,NA
"FG_041",175,NA,NA,NA
"FG_042",176,NA,NA,NA
"FG_043",177,NA,NA,NA
"PYO_01",178,NA,NA,NA
"PYO_02",179,NA,NA,NA
"PYO_03",180,NA,NA,NA
"PYO_04",181,NA,NA,NA
"PYO_05",182,NA,NA,NA
"PYO_06",183,NA,NA,NA
"PYO_07",184,NA,NA,NA
"PYO_08",185,NA,NA,NA
"PYO_09",186,NA,NA,NA
"PYO_10",187,NA,NA,NA
"PYO_11",188,NA,NA,NA
"PYO_12",189,NA,NA,NA
"PYO_13",190,NA,NA,NA
"PYO_14",191,NA,NA,NA
"PYO_15",192,NA,NA,NA
"PYO_16",193,NA,NA,NA
"PYO_17",194,NA,NA,NA
"PYO_18",195,NA,NA,NA
"PYO_19",196,NA,NA,NA
"PYO_20",197,NA,NA,NA
"PYO_21",198,NA,NA,NA
"PYO_22",199,NA,NA,NA
"PYO_23",200,NA,NA,NA
"PYO_24",201,NA,NA,NA
"PYO_25",202,NA,NA,NA
"PYO_26",203,NA,NA,NA
"PYO_27",204,NA,NA,NA
"PYO_28",205,NA,NA,NA
"PYO_29",206,NA,NA,NA
"PYO_30",207,NA,NA,NA
"PYO_31",208,NA,NA,NA
"PYO_32",209,NA,NA,NA
"PYO_33",210,NA,NA,NA
"PYO_34",211,NA,NA,NA
"PYO_35",212,NA,NA,NA
"PYO_36",213,NA,NA,NA
"PYO_37",214,NA,NA,NA
"PYO_38",215,NA,NA,NA
"PYO_39",216,NA,NA,NA
"PYO_40",217,NA,NA,NA
"PYO_41",218,NA,NA,NA
"PYO_42",219,NA,NA,NA
"PYO_43",220,NA,NA,NA
"PYO_44",221,NA,NA,NA
"PYO_45",222,NA,NA,NA
"PYO_46",223,NA,NA,NA
"PYO_47",224,NA,NA,NA
"PYO_48",225,NA,NA,NA
"PYO_49",226,NA,NA,NA
"PYO_50",227,NA,NA,NA
"PYO_51",228,NA,NA,NA
"PYO_52",229,NA,NA,NA
"PYO_53",230,NA,NA,NA
"PYO_54",231,NA,NA,NA
"PYO_55",232,NA,NA,NA
"PYO_56",233,NA,NA,NA
"PYO_57",234,NA,NA,NA
"PYO_58",235,NA,NA,NA
"PYO_59",236,NA,NA,NA
"PYO_60",237,NA,NA,NA
"PYO_61",238,NA,NA,NA
"PYO_62",239,NA,NA,NA
"PYO_63",240,NA,NA,NA
"PYO_64",241,NA,NA,NA
"PYO_65",242,NA,NA,NA
"PYO_66",243,NA,NA,NA
"PYO_67",244,NA,NA,NA
"PYO_68",245,NA,NA,NA
"PYO_69",246,NA,NA,NA
"PYO_70",247,NA,NA,NA
"PYO_71",248,NA,NA,NA
"PYO_72",249,NA,NA,NA
"PYO_73",250,NA,NA,NA
"PYO_74",251,NA,NA,NA
"PYO_75",252,NA,NA,NA
"PYO_76",253,NA,NA,NA
"PYO_77",254,NA,NA,NA
"PYO_78",255,NA,NA,NA
"PYO_79",256,NA,NA,NA
"PYO_80",257,NA,NA,NA
"PYO_81",258,NA,NA,NA
"PYO_82",259,NA,NA,NA
"PYO_83",260,NA,NA,NA
"PYO_84",261,NA,NA,NA
"PYO_85",262,NA,NA,NA
"PYO_86",263,NA,NA,NA
"PYO_87",264,NA,NA,NA
"PYO_88",265,NA,NA,NA
"PYO_89",266,NA,NA,NA
"PYO_90",267,NA,NA,NA
"PYO_91",268,NA,NA,NA
"PYO_92",269,NA,NA,NA
"PYO_93",270,NA,NA,NA
