replicate,Q,random_state,shuffle_seed,brim_iterations,curveball_rounds,layer
1,0.0011032926277052208,20042,10042,2000,500000,utilization
2,0.0011032926277052208,20043,10043,2000,500000,utilization
3,-0.0011308449951723484,20044,10044,2000,500000,utilization
4,0.00333743025058279,20045,10045,2000,500000,utilization
5,0.0042310852997338175,20046,10046,2000,500000,utilization
6,-0.0038118101426254315,20047,10047,2000,500000,utilization
7,-0.006939602814654029,20048,10048,2000,500000,utilization
8,-0.002024500044323376,20049,10049,2000,500000,utilization
9,-0.0006840174705968345,20050,10050,2000,500000,utilization
10,0.011827153217517553,20051,10051,2000,500000,utilization
11,0.0060183953980358735,20052,10052,2000,500000,utilization
12,0.012273980742093068,20053,10053,2000,500000,utilization
13,-0.0015776725197478622,20054,10054,2000,500000,utilization
14,0.012273980742093068,20055,10055,2000,500000,utilization
15,0.0015501201522807348,20056,10056,2000,500000,utilization
16,-0.00247132756889889,20057,10057,2000,500000,utilization
17,-0.005152292716351973,20058,10058,2000,500000,utilization
18,0.0060183953980358735,20059,10059,2000,500000,utilization
19,-0.007386430339229542,20060,10060,2000,500000,utilization
20,0.00333743025058279,20061,10061,2000,500000,utilization
21,-0.005599120240927487,20062,10062,2000,500000,utilization
22,0.007805705496337929,20063,10063,2000,500000,utilization
23,-0.002918155093474404,20064,10064,2000,500000,utilization
24,0.010039843119215498,20065,10065,2000,500000,utilization
25,0.0060183953980358735,20066,10066,2000,500000,utilization
26,-0.010067395486682625,20067,10067,2000,500000,utilization
27,0.006912050447186901,20068,10068,2000,500000,utilization
28,0.004677912824309332,20069,10069,2000,500000,utilization
29,-0.0011308449951723484,20070,10070,2000,500000,utilization
30,-0.002024500044323376,20071,10071,2000,500000,utilization
31,-0.0042586376672009455,20072,10072,2000,500000,utilization
32,-0.013195188158711223,20073,10073,2000,500000,utilization
33,-0.002024500044323376,20074,10074,2000,500000,utilization
34,0.0015501201522807348,20075,10075,2000,500000,utilization
35,0.00914618807006447,20076,10076,2000,500000,utilization
36,0.007358877971762415,20077,10077,2000,500000,utilization
37,-0.006492775290078514,20078,10078,2000,500000,utilization
38,-0.0042586376672009455,20079,10079,2000,500000,utilization
39,0.004677912824309332,20080,10080,2000,500000,utilization
40,0.006465222922611387,20081,10081,2000,500000,utilization
41,-0.009173740437531597,20082,10082,2000,500000,utilization
42,-0.007833257863805057,20083,10083,2000,500000,utilization
43,0.0011032926277052208,20084,10084,2000,500000,utilization
44,-0.0042586376672009455,20085,10085,2000,500000,utilization
45,-0.005152292716351973,20086,10086,2000,500000,utilization
46,-0.0002371899460213207,20087,10087,2000,500000,utilization
47,0.0011032926277052208,20088,10088,2000,500000,utilization
48,0.006465222922611387,20089,10089,2000,500000,utilization
49,-0.0002371899460213207,20090,10090,2000,500000,utilization
50,-0.0011308449951723484,20091,10091,2000,500000,utilization
51,-0.009173740437531597,20092,10092,2000,500000,utilization
52,-0.010067395486682625,20093,10093,2000,500000,utilization
53,0.001996947676856249,20094,10094,2000,500000,utilization
54,-0.0011308449951723484,20095,10095,2000,500000,utilization
55,0.001996947676856249,20096,10096,2000,500000,utilization
56,-0.0011308449951723484,20097,10097,2000,500000,utilization
57,0.006912050447186901,20098,10098,2000,500000,utilization
58,0.007358877971762415,20099,10099,2000,500000,utilization
59,-0.0002371899460213207,20100,10100,2000,500000,utilization
60,-0.002918155093474404,20101,10101,2000,500000,utilization
61,-0.0015776725197478622,20102,10102,2000,500000,utilization
62,-0.004705465191776459,20103,10103,2000,500000,utilization
63,0.005571567873460359,20104,10104,2000,500000,utilization
64,-0.005599120240927487,20105,10105,2000,500000,utilization
65,-0.0015776725197478622,20106,10106,2000,500000,utilization
66,0.0015501201522807348,20107,10107,2000,500000,utilization
67,0.001996947676856249,20108,10108,2000,500000,utilization
68,0.014061290840395122,20109,10109,2000,500000,utilization
69,-0.006045947765503001,20110,10110,2000,500000,utilization
70,-0.0033649826180499175,20111,10111,2000,500000,utilization
71,0.0060183953980358735,20112,10112,2000,500000,utilization
72,-0.0002371899460213207,20113,10113,2000,500000,utilization
73,0.00333743025058279,20114,10114,2000,500000,utilization
74,0.0028906027260072764,20115,10115,2000,500000,utilization
75,0.0028906027260072764,20116,10116,2000,500000,utilization
76,-0.006045947765503001,20117,10117,2000,500000,utilization
77,0.0051247403488848455,20118,10118,2000,500000,utilization
78,0.0028906027260072764,20119,10119,2000,500000,utilization
79,0.0051247403488848455,20120,10120,2000,500000,utilization
80,0.00020963757855419317,20121,10121,2000,500000,utilization
81,-0.0011308449951723484,20122,10122,2000,500000,utilization
82,-0.0011308449951723484,20123,10123,2000,500000,utilization
83,0.007358877971762415,20124,10124,2000,500000,utilization
84,-0.002918155093474404,20125,10125,2000,500000,utilization
85,0.00333743025058279,20126,10126,2000,500000,utilization
86,0.0024437752014317624,20127,10127,2000,500000,utilization
87,0.006465222922611387,20128,10128,2000,500000,utilization
88,0.000656465103129707,20129,10129,2000,500000,utilization
89,-0.002024500044323376,20130,10130,2000,500000,utilization
90,-0.007386430339229542,20131,10131,2000,500000,utilization
91,-0.0002371899460213207,20132,10132,2000,500000,utilization
92,-0.002918155093474404,20133,10133,2000,500000,utilization
93,0.0024437752014317624,20134,10134,2000,500000,utilization
94,-0.0006840174705968345,20135,10135,2000,500000,utilization
95,-0.006045947765503001,20136,10136,2000,500000,utilization
96,-0.002024500044323376,20137,10137,2000,500000,utilization
97,0.00333743025058279,20138,10138,2000,500000,utilization
98,0.004677912824309332,20139,10139,2000,500000,utilization
99,0.0028906027260072764,20140,10140,2000,500000,utilization
100,-0.0033649826180499175,20141,10141,2000,500000,utilization
101,-0.006045947765503001,20142,10142,2000,500000,utilization
102,0.0028906027260072764,20143,10143,2000,500000,utilization
103,-0.01051422301125814,20144,10144,2000,500000,utilization
104,0.006465222922611387,20145,10145,2000,500000,utilization
105,0.000656465103129707,20146,10146,2000,500000,utilization
106,0.0024437752014317624,20147,10147,2000,500000,utilization
107,-0.0038118101426254315,20148,10148,2000,500000,utilization
108,-0.0015776725197478622,20149,10149,2000,500000,utilization
109,-0.0033649826180499175,20150,10150,2000,500000,utilization
110,0.0015501201522807348,20151,10151,2000,500000,utilization
111,-0.0006840174705968345,20152,10152,2000,500000,utilization
112,0.0051247403488848455,20153,10153,2000,500000,utilization
113,0.00333743025058279,20154,10154,2000,500000,utilization
114,0.0011032926277052208,20155,10155,2000,500000,utilization
115,-0.004705465191776459,20156,10156,2000,500000,utilization
116,-0.004705465191776459,20157,10157,2000,500000,utilization
117,0.001996947676856249,20158,10158,2000,500000,utilization
118,0.0042310852997338175,20159,10159,2000,500000,utilization
119,0.004677912824309332,20160,10160,2000,500000,utilization
120,-0.002024500044323376,20161,10161,2000,500000,utilization
121,-0.004705465191776459,20162,10162,2000,500000,utilization
122,-0.002024500044323376,20163,10163,2000,500000,utilization
123,0.00020963757855419317,20164,10164,2000,500000,utilization
124,0.0024437752014317624,20165,10165,2000,500000,utilization
125,-0.0038118101426254315,20166,10166,2000,500000,utilization
126,-0.0011308449951723484,20167,10167,2000,500000,utilization
127,0.0015501201522807348,20168,10168,2000,500000,utilization
128,0.0024437752014317624,20169,10169,2000,500000,utilization
129,-0.005599120240927487,20170,10170,2000,500000,utilization
130,-0.010067395486682625,20171,10171,2000,500000,utilization
131,0.003784257775158304,20172,10172,2000,500000,utilization
132,0.001996947676856249,20173,10173,2000,500000,utilization
133,-0.002918155093474404,20174,10174,2000,500000,utilization
134,-0.0042586376672009455,20175,10175,2000,500000,utilization
135,0.010933498168366525,20176,10176,2000,500000,utilization
136,-0.007386430339229542,20177,10177,2000,500000,utilization
137,-0.0033649826180499175,20178,10178,2000,500000,utilization
138,-0.0042586376672009455,20179,10179,2000,500000,utilization
139,-0.014535670732437764,20180,10180,2000,500000,utilization
140,-0.00247132756889889,20181,10181,2000,500000,utilization
141,0.00020963757855419317,20182,10182,2000,500000,utilization
142,-0.015429325781588791,20183,10183,2000,500000,utilization
143,-0.0015776725197478622,20184,10184,2000,500000,utilization
144,0.0011032926277052208,20185,10185,2000,500000,utilization
145,0.004677912824309332,20186,10186,2000,500000,utilization
146,0.012273980742093068,20187,10187,2000,500000,utilization
147,-0.002024500044323376,20188,10188,2000,500000,utilization
148,0.00020963757855419317,20189,10189,2000,500000,utilization
149,-0.0002371899460213207,20190,10190,2000,500000,utilization
150,0.0028906027260072764,20191,10191,2000,500000,utilization
151,0.00020963757855419317,20192,10192,2000,500000,utilization
152,-0.0006840174705968345,20193,10193,2000,500000,utilization
153,-0.008726912912956084,20194,10194,2000,500000,utilization
154,0.005571567873460359,20195,10195,2000,500000,utilization
155,0.013167635791244095,20196,10196,2000,500000,utilization
156,-0.004705465191776459,20197,10197,2000,500000,utilization
157,-0.010067395486682625,20198,10198,2000,500000,utilization
158,0.0051247403488848455,20199,10199,2000,500000,utilization
159,0.0028906027260072764,20200,10200,2000,500000,utilization
160,-0.006939602814654029,20201,10201,2000,500000,utilization
161,-0.005599120240927487,20202,10202,2000,500000,utilization
162,0.0011032926277052208,20203,10203,2000,500000,utilization
163,-0.0042586376672009455,20204,10204,2000,500000,utilization
164,-0.0006840174705968345,20205,10205,2000,500000,utilization
165,0.003784257775158304,20206,10206,2000,500000,utilization
166,0.0015501201522807348,20207,10207,2000,500000,utilization
167,-0.010961050535833653,20208,10208,2000,500000,utilization
168,-0.0011308449951723484,20209,10209,2000,500000,utilization
169,0.008252533020913442,20210,10210,2000,500000,utilization
170,-0.00247132756889889,20211,10211,2000,500000,utilization
171,-0.004705465191776459,20212,10212,2000,500000,utilization
172,-0.006492775290078514,20213,10213,2000,500000,utilization
173,0.003784257775158304,20214,10214,2000,500000,utilization
174,-0.0002371899460213207,20215,10215,2000,500000,utilization
175,-0.00247132756889889,20216,10216,2000,500000,utilization
176,0.000656465103129707,20217,10217,2000,500000,utilization
177,0.006465222922611387,20218,10218,2000,500000,utilization
178,-0.0033649826180499175,20219,10219,2000,500000,utilization
179,0.0011032926277052208,20220,10220,2000,500000,utilization
180,0.000656465103129707,20221,10221,2000,500000,utilization
181,0.001996947676856249,20222,10222,2000,500000,utilization
182,0.0015501201522807348,20223,10223,2000,500000,utilization
183,-0.0002371899460213207,20224,10224,2000,500000,utilization
184,-0.005152292716351973,20225,10225,2000,500000,utilization
185,0.0028906027260072764,20226,10226,2000,500000,utilization
186,-0.005599120240927487,20227,10227,2000,500000,utilization
187,-0.00828008538838057,20228,10228,2000,500000,utilization
188,-0.002918155093474404,20229,10229,2000,500000,utilization
189,-0.0015776725197478622,20230,10230,2000,500000,utilization
190,-0.0033649826180499175,20231,10231,2000,500000,utilization
191,0.0011032926277052208,20232,10232,2000,500000,utilization
192,0.000656465103129707,20233,10233,2000,500000,utilization
193,0.0042310852997338175,20234,10234,2000,500000,utilization
194,0.004677912824309332,20235,10235,2000,500000,utilization
195,-0.002918155093474404,20236,10236,2000,500000,utilization
196,0.000656465103129707,20237,10237,2000,500000,utilization
197,-0.0002371899460213207,20238,10238,2000,500000,utilization
198,0.001996947676856249,20239,10239,2000,500000,utilization
199,0.000656465103129707,20240,10240,2000,500000,utilization
200,-0.009620567962107111,20241,10241,2000,500000,utilization
