pyo_id,label,original_pyov_id,producers_fg_count,utilizers_fg_count,fg_production_count,fg_utilization_count,strain_production_count,strain_utilization_count,fg_out_in_ratio,str_out_in_ratio,coop_fg,crossfeed_fg,nonprod_fg,coop_fg_frac,crossfeed_fg_frac,nonprod_fg_frac,util_total_strains,coop_strains,crossfeed_strains,nonprod_strains,coop_strain_frac,crossfeed_strain_frac,nonprod_strain_frac,module_id,util_module_n_rows,util_module_n_cols,util_module_nodf_total,util_module_fill_pct,util_module_is_large_nested,cheating_index
PYO_36,pyov_57,57,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_37,pyov_58,58,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_38,pyov_59,59,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_39,pyov_60,60,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_40,pyov_61,61,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_41,pyov_62,62,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_42,pyov_63,63,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_43,pyov_64,64,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_17,pyov_30,30,1,58,1,58,1,333,58,333,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,1,281,51,0.003003003003003003,0.8438438438438438,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.704047623170468
PYO_18,pyov_31,31,1,58,1,58,1,333,58,333,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,1,281,51,0.003003003003003003,0.8438438438438438,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.704047623170468
PYO_27,pyov_40,40,1,32,1,32,1,387,32,387,1,28,3,0.03125,0.875,0.09375,387,1,354,32,0.002583979328165375,0.9147286821705426,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.6463418384960612
PYO_34,pyov_55,55,1,61,1,61,2,272,61,136,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,2,208,62,0.007352941176470588,0.7647058823529411,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5994113552120626
PYO_93,pyov_278,278,1,38,1,38,1,297,38,297,1,25,12,0.02631578947368421,0.6578947368421053,0.3157894736842105,297,1,261,35,0.003367003367003367,0.8787878787878788,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.5758497905684904
PYO_35,pyov_56,56,1,61,1,61,3,272,61,90.66666666666667,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,3,207,62,0.011029411764705883,0.7610294117647058,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5583060011533405
PYO_45,pyov_66,66,1,61,1,61,3,272,61,90.66666666666667,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,3,207,62,0.011029411764705883,0.7610294117647058,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5583060011533405
PYO_19,pyov_32,32,1,58,1,58,2,333,58,166.5,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,2,280,51,0.006006006006006006,0.8408408408408409,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.5530761205797945
PYO_44,pyov_65,65,1,61,1,61,4,272,61,68,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,4,206,62,0.014705882352941176,0.7573529411764706,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5377533241239796
PYO_32,pyov_53,53,1,61,1,61,11,272,61,24.727272727272727,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,11,199,62,0.04044117647058824,0.7316176470588235,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.498516395249745
PYO_33,pyov_54,54,1,61,1,61,12,272,61,22.666666666666668,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,12,198,62,0.04411764705882353,0.7279411764705882,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.4966479700652576
PYO_14,pyov_27,27,1,58,1,58,4,333,58,83.25,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,4,278,51,0.012012012012012012,0.8348348348348348,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.47759036928445764
PYO_21,pyov_34,34,1,32,1,32,2,387,32,193.5,1,28,3,0.03125,0.875,0.09375,387,2,353,32,0.00516795865633075,0.9121447028423773,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.4708884706204136
PYO_26,pyov_39,39,1,32,1,32,2,387,32,193.5,1,28,3,0.03125,0.875,0.09375,387,2,353,32,0.00516795865633075,0.9121447028423773,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.4708884706204136
PYO_15,pyov_28,28,1,58,1,58,7,333,58,47.57142857142857,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,7,275,51,0.021021021021021023,0.8258258258258259,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.4452393330150276
PYO_25,pyov_38,38,1,32,1,32,3,387,32,129,1,28,3,0.03125,0.875,0.09375,387,3,352,32,0.007751937984496124,0.9095607235142119,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.4124040146618644
PYO_24,pyov_37,37,2,32,2,32,2,387,16,193.5,1,28,3,0.03125,0.875,0.09375,387,1,354,32,0.002583979328165375,0.9147286821705426,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.40422180395374696
