pyo_id,original_pyov_id,syn_groups,syn_group
PYO_01,6,6;7;8,6
PYO_01,6,6;7;8,7
PYO_01,6,6;7;8,8
PYO_02,7,6;7;8,6
PYO_02,7,6;7;8,7
PYO_02,7,6;7;8,8
PYO_03,8,6;7;8,6
PYO_03,8,6;7;8,7
PYO_03,8,6;7;8,8
PYO_04,10,10;11,10
PYO_04,10,10;11,11
PYO_05,11,10;11,10
PYO_05,11,10;11,11
PYO_06,12,12;13;14,12
PYO_06,12,12;13;14,13
PYO_06,12,12;13;14,14
PYO_07,13,12;13;14,12
PYO_07,13,12;13;14,13
PYO_07,13,12;13;14,14
PYO_08,14,12;13;14,12
PYO_08,14,12;13;14,13
PYO_08,14,12;13;14,14
PYO_09,16,16;17;18,16
PYO_09,16,16;17;18,17
PYO_09,16,16;17;18,18
PYO_10,17,16;17;18,16
PYO_10,17,16;17;18,17
PYO_10,17,16;17;18,18
PYO_11,18,16;17;18,16
PYO_11,18,16;17;18,17
PYO_11,18,16;17;18,18
PYO_12,22,22;23,22
PYO_12,22,22;23,23
PYO_13,23,22;23,22
PYO_13,23,22;23,23
PYO_14,27,27;28;29;30;31;32;33,27
PYO_14,27,27;28;29;30;31;32;33,28
PYO_14,27,27;28;29;30;31;32;33,29
PYO_14,27,27;28;29;30;31;32;33,30
PYO_14,27,27;28;29;30;31;32;33,31
PYO_14,27,27;28;29;30;31;32;33,32
PYO_14,27,27;28;29;30;31;32;33,33
PYO_15,28,27;28;29;30;31;32;33,27
PYO_15,28,27;28;29;30;31;32;33,28
PYO_15,28,27;28;29;30;31;32;33,29
PYO_15,28,27;28;29;30;31;32;33,30
PYO_15,28,27;28;29;30;31;32;33,31
PYO_15,28,27;28;29;30;31;32;33,32
PYO_15,28,27;28;29;30;31;32;33,33
PYO_16,29,27;28;29;30;31;32;33,27
PYO_16,29,27;28;29;30;31;32;33,28
PYO_16,29,27;28;29;30;31;32;33,29
PYO_16,29,27;28;29;30;31;32;33,30
PYO_16,29,27;28;29;30;31;32;33,31
PYO_16,29,27;28;29;30;31;32;33,32
PYO_16,29,27;28;29;30;31;32;33,33
PYO_17,30,27;28;29;30;31;32;33,27
PYO_17,30,27;28;29;30;31;32;33,28
PYO_17,30,27;28;29;30;31;32;33,29
PYO_17,30,27;28;29;30;31;32;33,30
PYO_17,30,27;28;29;30;31;32;33,31
PYO_17,30,27;28;29;30;31;32;33,32
PYO_17,30,27;28;29;30;31;32;33,33
PYO_18,31,27;28;29;30;31;32;33,27
PYO_18,31,27;28;29;30;31;32;33,28
PYO_18,31,27;28;29;30;31;32;33,29
PYO_18,31,27;28;29;30;31;32;33,30
PYO_18,31,27;28;29;30;31;32;33,31
PYO_18,31,27;28;29;30;31;32;33,32
PYO_18,31,27;28;29;30;31;32;33,33
PYO_19,32,27;28;29;30;31;32;33,27
PYO_19,32,27;28;29;30;31;32;33,28
PYO_19,32,27;28;29;30;31;32;33,29
PYO_19,32,27;28;29;30;31;32;33,30
PYO_19,32,27;28;29;30;31;32;33,31
PYO_19,32,27;28;29;30;31;32;33,32
PYO_19,32,27;28;29;30;31;32;33,33
PYO_20,33,27;28;29;30;31;32;33,27
PYO_20,33,27;28;29;30;31;32;33,28
PYO_20,33,27;28;29;30;31;32;33,29
PYO_20,33,27;28;29;30;31;32;33,30
PYO_20,33,27;28;29;30;31;32;33,31
PYO_20,33,27;28;29;30;31;32;33,32
PYO_20,33,27;28;29;30;31;32;33,33
PYO_21,34,34;35;36;37;38;39;40;41,34
PYO_21,34,34;35;36;37;38;39;40;41,35
PYO_21,34,34;35;36;37;38;39;40;41,36
PYO_21,34,34;35;36;37;38;39;40;41,37
PYO_21,34,34;35;36;37;38;39;40;41,38
PYO_21,34,34;35;36;37;38;39;40;41,39
PYO_21,34,34;35;36;37;38;39;40;41,40
PYO_21,34,34;35;36;37;38;39;40;41,41
PYO_22,35,34;35;36;37;38;39;40;41,34
PYO_22,35,34;35;36;37;38;39;40;41,35
PYO_22,35,34;35;36;37;38;39;40;41,36
PYO_22,35,34;35;36;37;38;39;40;41,37
PYO_22,35,34;35;36;37;38;39;40;41,38
PYO_22,35,34;35;36;37;38;39;40;41,39
PYO_22,35,34;35;36;37;38;39;40;41,40
PYO_22,35,34;35;36;37;38;39;40;41,41
PYO_23,36,34;35;36;37;38;39;40;41,34
PYO_23,36,34;35;36;37;38;39;40;41,35
PYO_23,36,34;35;36;37;38;39;40;41,36
PYO_23,36,34;35;36;37;38;39;40;41,37
PYO_23,36,34;35;36;37;38;39;40;41,38
PYO_23,36,34;35;36;37;38;39;40;41,39
PYO_23,36,34;35;36;37;38;39;40;41,40
PYO_23,36,34;35;36;37;38;39;40;41,41
PYO_24,37,34;35;36;37;38;39;40;41,34
PYO_24,37,34;35;36;37;38;39;40;41,35
PYO_24,37,34;35;36;37;38;39;40;41,36
PYO_24,37,34;35;36;37;38;39;40;41,37
PYO_24,37,34;35;36;37;38;39;40;41,38
PYO_24,37,34;35;36;37;38;39;40;41,39
PYO_24,37,34;35;36;37;38;39;40;41,40
PYO_24,37,34;35;36;37;38;39;40;41,41
PYO_25,38,34;35;36;37;38;39;40;41,34
PYO_25,38,34;35;36;37;38;39;40;41,35
PYO_25,38,34;35;36;37;38;39;40;41,36
PYO_25,38,34;35;36;37;38;39;40;41,37
PYO_25,38,34;35;36;37;38;39;40;41,38
PYO_25,38,34;35;36;37;38;39;40;41,39
PYO_25,38,34;35;36;37;38;39;40;41,40
PYO_25,38,34;35;36;37;38;39;40;41,41
PYO_26,39,34;35;36;37;38;39;40;41,34
PYO_26,39,34;35;36;37;38;39;40;41,35
PYO_26,39,34;35;36;37;38;39;40;41,36
PYO_26,39,34;35;36;37;38;39;40;41,37
PYO_26,39,34;35;36;37;38;39;40;41,38
PYO_26,39,34;35;36;37;38;39;40;41,39
PYO_26,39,34;35;36;37;38;39;40;41,40
PYO_26,39,34;35;36;37;38;39;40;41,41
PYO_27,40,34;35;36;37;38;39;40;41,34
PYO_27,40,34;35;36;37;38;39;40;41,35
PYO_27,40,34;35;36;37;38;39;40;41,36
PYO_27,40,34;35;36;37;38;39;40;41,37
PYO_27,40,34;35;36;37;38;39;40;41,38
PYO_27,40,34;35;36;37;38;39;40;41,39
PYO_27,40,34;35;36;37;38;39;40;41,40
PYO_27,40,34;35;36;37;38;39;40;41,41
PYO_28,41,34;35;36;37;38;39;40;41,34
PYO_28,41,34;35;36;37;38;39;40;41,35
PYO_28,41,34;35;36;37;38;39;40;41,36
PYO_28,41,34;35;36;37;38;39;40;41,37
PYO_28,41,34;35;36;37;38;39;40;41,38
PYO_28,41,34;35;36;37;38;39;40;41,39
PYO_28,41,34;35;36;37;38;39;40;41,40
PYO_28,41,34;35;36;37;38;39;40;41,41
PYO_29,42,42,42
PYO_30,51,51;52,51
PYO_30,51,51;52,52
PYO_31,52,51;52,51
PYO_31,52,51;52,52
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
